county,sub_county,Disease/ Condition,Number at Risk
Bungoma,Mt. Elgon,Trypanosomiasis,0
Bungoma,Kimilili,Anaplasmosis,1
Busia,Butula,Helminthiasis,0
Busia,Nambale,Helminthiasis,3
Busia,Teso South,Brucellosis,1
Narok,Narok South,footrot,74
Busia,Matayos,Pneumonia,28
Busia,Teso South,Helminthiasis,0
Busia,Teso South,Foot Rot,5
Busia,Nambale,Black Quarter,2
Busia,Butula,Pneumonia,19
Busia,Butula,Helminthiasis,3
Busia,Teso South,Helminthiasis,2
Busia,Nambale,Anthrax,4
Busia,Teso North,Rabies,2
Busia,Teso South,Black Quarter,2
Busia,Teso South,East Coast Fever(ECF),5
Marsabit,Moyale,Footrot,16
Busia,Teso South,Mange,5
Busia,Teso South,Rabies,7
Busia,Teso North,Red Urine ,5
Marsabit,Moyale,Brucellosis,27
Marsabit,Moyale,Abcess,25
Marsabit,Moyale,Helminthiasis,5
Busia,Matayos,Pneumonia,1
Marsabit,Moyale,Brucellosis,43
Busia,Teso South,East Coast Fever(ECF),0
Busia,Nambale,Mange,3
Busia,Teso South,0,5
Marsabit,Moyale,Brucellosis,20
Marsabit,Moyale,Wound,13
Marsabit,Moyale,Footrot,42
Busia,Teso North,Anaplasmosis,1
Busia,Teso South,Brucellosis,28
Busia,Teso South,Animal bites,33
Busia,Teso South,Abscess ,1
Marsabit,Moyale,Animal bites,58
Busia,Butula,Helminthiasis,4
Busia,Teso South,0,9
Busia,Teso South,Newcastle Disease (NCD),54
Busia,Teso South,East Coast Fever(ECF),67
Marsabit,Moyale,Brucellosis,79
Marsabit,Moyale,Brucellosis,72
Busia,Teso South,Pneumonia,18
Busia,Teso South,Rift Valley Fever (RVF),25
Busia,Teso South,Anthrax,4
Marsabit,Moyale,Helminthiasis,34
Busia,Teso South,Lumpy Skin Disease (LSD),2
Busia,Teso South,Enterotoxaemia,0
Busia,Teso South,Anaplasmosis,2
Busia,Matayos,East Coast Fever(ECF),2
Taita Taveta,Taveta,Orf Disease ,48
Busia,Teso South,Helminthiasis,4
Busia,Matayos,East Coast Fever(ECF),3
Busia,Teso North,ephemeral fever ,201
Busia,Teso South,Fowl Typhoid ,15
Busia,Teso North,Brucellosis,24
Busia,Teso North,Pneumonia,62
Busia,Nambale,Pneumonia,62
Busia,Teso South,Helminthiasis,18
Busia,Nambale,Brucellosis,3
Busia,Matayos,Coeneurosis,6
Busia,Matayos,Lumpy Skin Disease (LSD),2
Busia,Teso South,Trypanosomiasis,12
Busia,Teso South,Animal bites,33
Busia,Nambale,Coccidosis,6
Busia,Butula,Fowl Typoid,33
Busia,Nambale,Brucellosis,16
Busia,Teso South,Brucellosis,42
Busia,Nambale,East Coast Fever(ECF),300
Busia,Teso South,Helminthiasis,17
Busia,Teso South,Brucellosis,120
Busia,Nambale,Trypanosomiasis,3
Busia,Butula,Helminthiasis,0
Busia,Teso South,Trauma ,0
Busia,Butula,Trypanosomiasis,36
Busia,Teso South,Trypanosomiasis,13
Busia,Teso South,Black Quarter,8
Busia,Teso South,Anaplasmosis,2
Busia,Matayos,East Coast Fever(ECF),0
Busia,Nambale,Helminthiasis,4
Busia,Teso South,Anaplasmosis,1
Busia,Teso South,Brucellosis,35
Busia,Matayos,East Coast Fever(ECF),1
Busia,Teso South,Warble ,1
Busia,Teso South,Calf Scours ,8
Busia,Teso South,Leptospirosis ,30
Busia,Teso South,Brucellosis,6
Busia,Teso South,Trypanosomiasis,2
Busia,Teso South,Bottle Jow,50
Busia,Teso South,Helminthiasis,2
Busia,Teso South,Anaplasmosis,20
Marsabit,Moyale,Brucellosis,65
Elgeyo/Marakwet,Marakwet West,Heart Water,6
Elgeyo/Marakwet,Marakwet West,Helminthiasis,1
Elgeyo/Marakwet,Marakwet West,Helminthiasis,0
Elgeyo/Marakwet,Keiyo South,Pneumonia,8
Elgeyo/Marakwet,Marakwet East,Heart Water,8
Elgeyo/Marakwet,Keiyo South,Pneumonia,6
Elgeyo/Marakwet,Marakwet West,Johnes Disease,2
Elgeyo/Marakwet,Marakwet West,East Coast Fever(ECF),3
Elgeyo/Marakwet,Marakwet East,East Coast Fever(ECF),2
Elgeyo/Marakwet,Marakwet East,Diarrhoea,40
Elgeyo/Marakwet,Marakwet East,Bloat,21
Elgeyo/Marakwet,Marakwet East,Distocia,2
Elgeyo/Marakwet,Keiyo North,Anaplasmosis,3
Elgeyo/Marakwet,Marakwet East,Foetal Mumification,1
Elgeyo/Marakwet,Keiyo North,Babesia Bovis,12
Elgeyo/Marakwet,Marakwet West,Haemorrhagic septicemia,200
Elgeyo/Marakwet,Marakwet West,Animal bites,24
Elgeyo/Marakwet,Marakwet West,Helminthiasis,1
Elgeyo/Marakwet,Marakwet West,Foot and Mouth Disease (FMD),8
Elgeyo/Marakwet,Keiyo South,Absess,3
Elgeyo/Marakwet,Marakwet West,East Coast Fever(ECF),1
Elgeyo/Marakwet,Marakwet West,Anaplasmosis,11
Elgeyo/Marakwet,Keiyo South,Fowl Pox,90
Elgeyo/Marakwet,Marakwet West,Cirrhosis,0
Elgeyo/Marakwet,Marakwet West,East Coast Fever(ECF),9
Elgeyo/Marakwet,Marakwet West,Brucellosis,1
Elgeyo/Marakwet,Marakwet West,Plant Poison,1
Elgeyo/Marakwet,Keiyo South,Heart Water,5
Elgeyo/Marakwet,Marakwet West,Helminthiasis,2
Elgeyo/Marakwet,Marakwet West,Animal Bite,5
Elgeyo/Marakwet,Marakwet West,East Coast Fever(ECF),3
Elgeyo/Marakwet,Marakwet East,Anaplasmosis,30
Elgeyo/Marakwet,Marakwet East,TVT,4
Garissa,Lagdera,Contagious Caprine Pleuropneumonia (CCPP),6
Garissa,Balambala,Lumpy Skin Disease (LSD),6
Garissa,Balambala,East Coast Fever(ECF),63
Garissa,Balambala,Helminthiasis,0
Garissa,Lagdera,Iron Defficiency,9
Garissa,Fafi,Infectious Bursai Disease (Gumboro),431
Garissa,Fafi,Pneumonia,2
Garissa,Fafi,Contagious Caprine Pleuropneumonia (CCPP),80
Garissa,Balambala,East Coast Fever(ECF),3
Garissa,Garissa Township,Arthritis ,19
Marsabit,Moyale,Poisoning,56
Garissa,Ijara,East Coast Fever(ECF),2
Kajiado,Kajiado North,Rabies,3
Kajiado,Kajiado West,Lumpy Skin Disease (LSD),19
Kajiado,Kajiado Central,Helminthiasis,0
Kajiado,Kajiado Central,Brucellosis,12
Kakamega,Likuyani,Myocarditis ,0
Marsabit,Moyale,Camel Pox,52
Turkana,Turkana East,Mange,28
Kakamega,Likuyani,Helminthiasis,0
Kakamega,Malava,Contagious Caprine Pleuropneumonia (CCPP),21
Kakamega,Malava,Brucellosis,11
Kakamega,Lugari,Goat Pox,1285
Kakamega,Ikolomani,Black Quarter,2
Kakamega,Likuyani,Contagious Caprine Pleuropneumonia (CCPP),23
Kakamega,Malava,Helminthiasis,21
Kakamega,Likuyani,Anthrax,5
Makueni,Kibwezi East,Contagious Caprine Pleuropneumonia (CCPP),0
Kakamega,Likuyani,East Coast Fever(ECF),0
Kakamega,Khwisero,Helminthiasis,0
Kakamega,Malava,Pink Eye ,20
Kakamega,Malava,Anaplasmosis,12
Kakamega,Ikolomani,Black Quarter,3
Kakamega,Shinyalu,Brucellosis,5
Kakamega,Likuyani,Trypanosomiasis,52
Kakamega,Ikolomani,Lumpy Skin Disease (LSD),1
Kakamega,Malava,Trypanosomiasis,42
Kakamega,Likuyani,Contagious Caprine Pleuropneumonia (CCPP),76
Kakamega,Likuyani,Pneumonia,1
Kakamega,Likuyani,Brucellosis,5
Kakamega,Butere,East Coast Fever(ECF),5
Kakamega,Likuyani,Helminthiasis,2
Kakamega,Mumias East,Trypanosomiasis,40
Kakamega,Likuyani,Brucellosis,62
Elgeyo/Marakwet,Keiyo South,Brucellosis,10
Kakamega,Likuyani,Rabies,5
Kakamega,Butere,Rabies,2000
Kakamega,Likuyani,Contagious Caprine Pleuropneumonia (CCPP),43
Kakamega,Malava,East Coast Fever(ECF),5
Kakamega,Malava,East Coast Fever(ECF),0
Kakamega,Malava,Brucellosis,6
Kakamega,Malava,Foot And Rot,2
Kakamega,Malava,injury ,60
Kakamega,Malava,Haemorrhagic septicemia,16
Kakamega,Malava,Brucellosis,13
Kakamega,Likuyani,H.S,67
Kakamega,Malava,East Coast Fever(ECF),2
Kakamega,Mumias East,Dytocia,15
Kakamega,Mumias East,East Coast Fever(ECF),2
Kakamega,Malava,East Coast Fever(ECF),2
Kakamega,Malava,Injury,4
Kakamega,Lurambi,East Coast Fever(ECF),0
Kakamega,Lugari,Milk Fever,1
Kakamega,Malava,Black Quarter,1
Kakamega,Lugari,Rabies,9
Kakamega,Lugari,Pneumonia,8
Baringo,Baringo North,Foot and Mouth Disease (FMD),19
Kakamega,Malava,Brucellosis,40
Kakamega,Malava,Parasite Infestation ,2
Kakamega,Likuyani,Pneumonia,17
Kakamega,Likuyani,Anaplasmosis,2
Kakamega,Malava,Brucellosis,5
Kakamega,Likuyani,Brucellosis,55
Kakamega,Lugari,Abscess ,25
Kakamega,Malava,Rabies,50
