name,county,latitude,longitude,ownership
,Marsabit,3.284146,39.079739,GOK
,Busia,0.4638296,34.3332918,GOK
,Busia,0.4556892,34.1231144,GOK
,Busia,0.511108,34.3128169,GOK
,Busia,0.4759173,34.2253117,GOK
,Marsabit,3.284146,39.079739,GOK
,Marsabit,3.327542,39.221995,GOK
,Busia,0.5179994,34.2263539,GOK
,Busia,0.5454041,34.3065693,GOK
,Busia,0.4630591,34.1178971,GOK
,Marsabit,3.446285,39.171518,GOK
,Busia,0.4597053,34.1495438,GOK
,Busia,0.4597053,34.1495438,GOK
,Busia,0.4646157,34.1464144,GOK
,Busia,0.4525854,34.1544116,GOK
,Taita Taveta,-3.3970082,37.6867131,GOK
,Busia,0.4630591,34.1178971,GOK
,Busia,0.4477459,34.1446758,GOK
,Busia,0.6388678,34.2673388,GOK
,Busia,0.4704349,34.199947,GOK
,Busia,0.6363905,34.2701167,GOK
,Busia,0.6363905,34.2701167,GOK
,Busia,0.446612,34.266297,GOK
,Busia,0.5108698,34.3117756,GOK
,Busia,0.5108698,34.3117756,GOK
,Busia,0.4142714,34.141894,GOK
,Busia,0.4587538,34.0994604,GOK
,Busia,0.462801,34.1203319,GOK
,Busia,0.5454041,34.3065693,GOK
,Busia,0.4525818,34.246154,GOK
,Busia,0.4605108,34.3152463,GOK
,Busia,0.4733939,34.2392071,GOK
,Busia,0.5320678,34.2478907,GOK
,Busia,0.454097,34.2822692,GOK
,Busia,0.4652215,34.3024041,GOK
,Busia,0.5052434,34.3121227,GOK
,Busia,0.4478922,34.2551842,GOK
,Busia,0.3263033,34.2385124,GOK
,Busia,0.5320678,34.2478907,GOK
,Busia,0.3263033,34.2385124,GOK
,Busia,0.5166238,34.2510165,GOK
,Busia,0.5106231,34.3121227,GOK
,Busia,0.4496855,34.2395545,GOK
,Busia,0.4579498,34.1123317,GOK
,Busia,0.4499883,34.2742835,GOK
,Busia,0.4533751,34.1439804,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4494098,34.1537162,GOK
,Busia,0.4533751,34.1439804,GOK
,Busia,0.4998238,34.1954292,GOK
,Marsabit,3.115677,39.256903,GOK
,Elgeyo/Marakwet,0.9876189,35.4485742,GOK
,Elgeyo/Marakwet,0.9553785,35.4030127,GOK
,Elgeyo/Marakwet,0.9783155,35.4489166,GOK
,Elgeyo/Marakwet,0.5106174945831299,35.70333480834962,GOK
,Elgeyo/Marakwet,1.04497815,35.57306658,GOK
,Elgeyo/Marakwet,0.5493700504302987,35.55250883102417,GOK
,Elgeyo/Marakwet,0.9553785,35.4030127,GOK
,Elgeyo/Marakwet,0.9930038,35.4485742,GOK
,Elgeyo/Marakwet,1.06247057,35.59271255,GOK
,Elgeyo/Marakwet,1.0653974,35.5885244,GOK
,Elgeyo/Marakwet,1.07416154,35.58451376,GOK
,Elgeyo/Marakwet,1.06386046,35.58019602,GOK
,Elgeyo/Marakwet,0.6702027,35.5088269,GOK
,Elgeyo/Marakwet,1.0506749999999998,35.58034166666666,GOK
,Elgeyo/Marakwet,0.6717628,35.5085896,GOK
,Elgeyo/Marakwet,0.9836745993895148,35.346017344909825,GOK
,Elgeyo/Marakwet,0.9436334,35.3824504,GOK
,Elgeyo/Marakwet,0.9436334,35.3824504,GOK
,Elgeyo/Marakwet,0.9844733,35.2242911,GOK
,Elgeyo/Marakwet,0.6399965286254741,35.51785469055176,GOK
,Elgeyo/Marakwet,1.0418558,35.3226054,GOK
