county,sub_county,Disease/ Condition,total
Taita Taveta,Taveta,Abscess,22
Taita Taveta,Taveta,Contagious Caprine Pleuropneumonia (CCPP),146
Taita Taveta,Voi,Pneumonia,957
Bomet,Bomet Central,Foot and Mouth Disease (FMD),354
Kakamega,Lurambi,Brucellosis,5
Kakamega,Malava,Cervical Prolapse,2
Kakamega,Ikolomani,East Coast Fever(ECF),5
Samburu,Samburu West,Sprain,74
Taita Taveta,Voi,Peste des Petit Ruminants (PPR),275
Vihiga,Emuhaya,East Coast Fever(ECF),18
Taita Taveta,Mwatate,Contagious Caprine Pleuropneumonia (CCPP),507
Taita Taveta,Wundanyi,Retained Afterbirth,0
Taita Taveta,Mwatate,Goat Pox,63
Taita Taveta,Mwatate,Enterotoxaemia,62
Taita Taveta,Wundanyi,Sheep Pox,50
Makueni,Kaiti,Contagious Bovine Pleuropneumonia (CBPP),0
Samburu,Samburu East,No,246
Samburu,Samburu West,Acute Mastitis,12
Vihiga,Vihiga,Helminthiasis,8
Taita Taveta,Mwatate,Newcastle Disease (NCD),20
Busia,Matayos,Parvovirus,3
Busia,Nambale,Anaplasmosis,5
Taita Taveta,Voi,Contagious Caprine Pleuropneumonia (CCPP),2411
Marsabit,North Horr,Haemorrhagic septicemia,277
Samburu,Samburu West,Dystocia,1
Siaya,Gem,Rabies,5
Makueni,Mbooni,Pneumonia,248
Vihiga,Hamisi,East Coast Fever(ECF),8
Elgeyo/Marakwet,Marakwet West,Abortion,0
Taita Taveta,Voi,Wounds,6
Baringo,Tiaty,Contagious Caprine Pleuropneumonia (CCPP),88
Baringo,Tiaty,Foot and Mouth Disease (FMD),20
Baringo,Tiaty,Blue  Tongue,42
Taita Taveta,Wundanyi,Brucellosis,25
Taita Taveta,Taveta,Coccidosis,360
Taita Taveta,Wundanyi,Goat Pox,78
Vihiga,Hamisi,Anthrax,22
Taita Taveta,Wundanyi,Bluetongue,58
Busia,Teso South,African Swine Fever (ASF),38
Taita Taveta,Mwatate,Mange,9
Garissa,Lagdera,Sheep Pox,4650
Taita Taveta,Voi,Rift Valley Fever (RVF),351
Garissa,Lagdera,Goat Pox,1350
Nakuru,Gilgil,Rabies,0
Kakamega,Lurambi,Helminthiasis,6
Taita Taveta,Voi,Animal bites,105
Taita Taveta,Voi,Lumpy Skin Disease (LSD),488
Taita Taveta,Voi,Mange,39
Taita Taveta,Voi,Sheep Pox,457
Makueni,Mbooni,Foot and Mouth Disease (FMD),101
Makueni,Makueni,Foot and Mouth Disease (FMD),875
Makueni,Mbooni,"",4
Taita Taveta,Mwatate,Ring Worm,4
Taita Taveta,Mwatate,Sheep Pox,117
Taita Taveta,Mwatate,Rift Valley Fever (RVF),15
Nakuru,Bahati,Teat Warts,1
Marsabit,Laisamis,Rift Valley Fever (RVF),4739
Nyandarua,Kinangop,Lumpy Skin Disease (LSD),1059
Nyandarua,Kinangop,Black Quarter,210
Samburu,Samburu West,Goat Pox,102
Samburu,Samburu West,Tetanus,2
Taita Taveta,Voi,Skin Abscess,0
Elgeyo/Marakwet,Keiyo North,Rabies,12
Siaya,Gem,Overgrown Horns,1
Kakamega,Lurambi,Enterotoxaemia,4
Samburu,Samburu East,Verminous Pneumonia,110
Taita Taveta,Voi,Enteritis,21
Taita Taveta,Voi,Fracture Of Femur,0
Marsabit,Saku,Leptospirosis,10
Taita Taveta,Voi,Foot and Mouth Disease (FMD),555
Marsabit,Saku,Mastitis,20
Bomet,Bomet East,Streptothricosis,0
Vihiga,Luanda,Allergy,2
Kakamega,Matungu,Helminthiasis,0
Taita Taveta,Mwatate,Ehrlichiosis,4
Kakamega,Malava,Mastitis,17
Marsabit,Laisamis,Peste des Petit Ruminants (PPR),6141
Marsabit,Laisamis,Haemorrhagic septicemia,364
Kakamega,Butere,Mange,6
Taita Taveta,Taveta,Septicemia,2
Kajiado,Kajiado East,Rift Valley Fever (RVF),41
Busia,Nambale,Heart Water,7
Elgeyo/Marakwet,Marakwet West,Mineral Salt Defficiency,20
Nyeri,Mukurweini,Lumpy Skin Disease (LSD),3
Busia,Butula,Heart Water,23
Taita Taveta,Taveta,Infertility,6
Marsabit,Laisamis,Menge,3
Busia,Butula,Animal bites,1
Busia,Matayos,Anaplasmosis,32
Makueni,Kibwezi East,ephemeral fever,1
Marsabit,Laisamis,Warbles,2
Busia,Matayos,Trypanosomiasis,37
Samburu,Samburu East,Skina Abscess,0
Taita Taveta,Taveta,Peste des Petit Ruminants (PPR),220
Taita Taveta,Taveta,Perineal Hernia,0
Elgeyo/Marakwet,Marakwet West,Coccidosis,1
Tana River,Galole,Brucellosis,14
Samburu,Samburu North,Animal bites,23
Mombasa,Kisauni,Otitis Interner,1
Tana River,Bura,Brucellosis,839
Mombasa,Nyali,Mastitis,3
Vihiga,Luanda,Heart Water,26
Vihiga,Emuhaya,Mange,34
Tana River,Bura,Infectious Coryza,60
Tana River,Bura,Bluetongue,102
Kakamega,Lurambi,Pneumonia,5
Samburu,Samburu West,Retained Placenta,5
Tana River,Bura,Mange,144
Taita Taveta,Voi,Tick Fever,1
Tana River,Bura,Anaplasmosis,775
Taita Taveta,Voi,Fowltyphoid,50
Tana River,Bura,Peste des Petit Ruminants (PPR),6268
Taita Taveta,Voi,Heart Water,124
Marsabit,Laisamis,Suspected Brucellosis,1
Kwale,Kinango,Contagious Caprine Pleuropneumonia (CCPP),1807
Busia,Samia,Trypanosomiasis,17
Makueni,Kaiti,None,1
Kwale,Kinango,Foot Rot,2
Bomet,Bomet East,Telangiectasis,0
Kajiado,Kajiado Central,Contagious Caprine Pleuropneumonia (CCPP),987
Samburu,Samburu West,Sheep Pox,549
Busia,Teso South,Ketosis,3
Siaya,Alego Usonga,Trypanosomiasis,51
Makueni,Kibwezi West,Ephemeral,0
Siaya,Alego Usonga,Heart Water,73
Kakamega,Lurambi,Lumpy Skin Disease (LSD),354
Siaya,Alego Usonga,Anaplasmosis,58
Taita Taveta,Taveta,Lumpy Skin Disease (LSD),94
Bomet,Bomet East,Liver cyrrhosis,0
Tana River,Bura,Tick Infestation,15
Tana River,Bura,Exophthalmos,0
Marsabit,Moyale,Wry neck,15
Elgeyo/Marakwet,Keiyo South,Rabies,41
Elgeyo/Marakwet,Keiyo South,East Coast Fever(ECF),18
Turkana,Turkana West,Contagious Bovine Pleuropneumonia (CBPP),26
Vihiga,Emuhaya,Anaplasmosis,2
Turkana,Turkana West,Contagious Caprine Pleuropneumonia (CCPP),2224
Meru,South Imenti,Trichomonas,5
Mombasa,Likoni,Contagious Caprine Pleuropneumonia (CCPP),10
Nakuru,Naivasha,Salmonellosis,87
Marsabit,Laisamis,Hynes Attacked and Killed 1 Bovine /Left 1 Injuries,2
Tana River,Bura,Blue Tongue,150
Narok,Narok North,None,252
Siaya,Gem,Strangulation,1
Meru,South Imenti,Pneumonia,2
Tana River,Bura,Hardware,0
Tana River,Bura,Foot and Mouth Disease (FMD),2363
Meru,South Imenti,Lumpy Skin Disease (LSD),4
Elgeyo/Marakwet,Keiyo South,Blue Tongue,5
Tana River,Bura,Animal bites,399
Tana River,Bura,Trypanosomiasis,3466
Siaya,Alego Usonga,Helminthiasis,54
Tana River,Bura,orf,21
Kilifi,Malindi,Heart Water,10
Makueni,Kibwezi West,Allergies,0
Busia,Teso North,Foot and Mouth Disease (FMD),28
Kilifi,Malindi,Trypanosomiasis,15
Busia,Matayos,Cutaneous Myiasis,9
Elgeyo/Marakwet,Keiyo South,Tetanus,8
Narok,Narok South,None,238
Kwale,Kinango,Pneumonia,1184
Bungoma,Bumula,Anaplasmosis,3
Kwale,Kinango,Black Quarter,6
Uasin Gishu,Moiben,Helminthiasis,25
Tana River,Galole,Helminthiasis,323
Kwale,Kinango,Heart Water,169
Tana River,Bura,Lumpy Skin Disease (LSD),1019
Samburu,Samburu East,Trauma,0
Vihiga,Sabatia,Helminthiasis,21
Vihiga,Sabatia,Mange,2
Samburu,Samburu North,Foot and Mouth Disease (FMD),3709
Samburu,Samburu North,Chronic Mange Infestation,52
Turkana,Turkana West,Lumpy Skin Disease (LSD),56
Baringo,Mogotio,Blue Tongue,3197
Baringo,Mogotio,Lumpy Skin Disease (LSD),1446
Tana River,Bura,Sheep Enterotoximea,21
Narok,Narok South,Foot and Mouth Disease (FMD),330
Elgeyo/Marakwet,Marakwet East,Pneumonia,173
Bomet,Bomet East,Fibrosis,0
Tana River,Bura,Black Quarter,280
Taita Taveta,Voi,Diarrhoea,2
Vihiga,Emuhaya,Pneumonia,378
Busia,Teso South,Mastitis,11
Kakamega,Shinyalu,Black Quarter,1
Busia,Samia,Helminthiasis,17
Tharaka-Nithi,Maara,Mastitis,6
Tharaka-Nithi,Chuka/Igambang'Ombe,Mastitis,20
Uasin Gishu,Turbo,Mange,7
Samburu,Samburu West,Bluetongue,238
Tharaka-Nithi,Chuka/Igambang'Ombe,East Coast Fever(ECF),15
Taita Taveta,Voi,Anaplasmosis,131
Kakamega,Malava,Salmonellosis,1
Marsabit,North Horr,Brucellosis,166
Vihiga,Luanda,Helminthiasis,66
Marsabit,North Horr,Rift Valley Fever (RVF),750
Tana River,Bura,Enterotoxaemia,20
Kakamega,Lugari,Foot and Mouth Disease (FMD),270
Bungoma,Webuye East,East Coast Fever(ECF),4
Siaya,Alego Usonga,East Coast Fever(ECF),33
Kisumu,Kisumu East,Lumpy Skin Disease (LSD),1
Elgeyo/Marakwet,Marakwet West,Mastitis,5
Vihiga,Sabatia,Newcastle Disease (NCD),120
Bungoma,Webuye West,Helminthiasis,3
Baringo,Baringo South,Goat Pox,77
Kisumu,Kisumu Central,Parvovirus,3
Taita Taveta,Taveta,Mange,65
Vihiga,Sabatia,East Coast Fever(ECF),16
Busia,Teso South,Pustular Dermatitis,4
Marsabit,North Horr,Mange,46
Siaya,Gem,Foot and Mouth Disease (FMD),17
Marsabit,North Horr,Animal bites,346
Marsabit,North Horr,Diarrhoea,10
Makueni,Kibwezi West,Congestion,0
Siaya,Gem,0,6
Elgeyo/Marakwet,Keiyo South,Anaplasmosis,13
Tana River,Bura,Goat Pox,354
Marsabit,North Horr,Abortion,71
Baringo,Baringo South,Sheep Pox,1258
Marsabit,Moyale,Malaria,333
Busia,Teso North,Trypanosomiasis,19
Busia,Teso North,Helminthiasis,4
Marsabit,Moyale,Pheumonia,173
Kakamega,Malava,Anthrax,7
Makueni,Kibwezi East,Anaplasmosis,81
Bungoma,Webuye East,Mange,4
Busia,Teso South,Foot and Mouth Disease (FMD),16
Nyandarua,Ol Jorok,Lumpy Skin Disease (LSD),2
Marsabit,North Horr,Diarhroea,20
Kitui,Kitui West,Foot and Mouth Disease (FMD),20
Tana River,Bura,Camel Pox,97
Marsabit,Moyale,Wooden Tongue,20
Bomet,Bomet East,Anthrax,0
Busia,Teso South,Poisoning,5
Tharaka-Nithi,Maara,Pneumonia,71
Samburu,Samburu North,Camel Pox,113
Busia,Bunyala,Non,15
Samburu,Samburu East,Suspected RVF,128
Samburu,Samburu East,Retained Afterbirth,0
Samburu,Samburu East,Fracture Of The Mandible,0
Samburu,Samburu East,Knee Bruises,0
Samburu,Samburu East,Skin Wounds,0
Samburu,Samburu East,Camel Cough,77
Samburu,Samburu East,Bloat And Constipation,0
Nakuru,Nakuru Town East,Anaplasmosis,2
Makueni,Makueni,Pneumonia,65
Siaya,Gem,Emaciation,2
Vihiga,Vihiga,Pneumonia,242
Kitui,Kitui South,Anaplasmosis,12
Kitui,Kitui South,Animal bites,40
Nyeri,Nyeri Town,Lumpy Skin Disease (LSD),3
Vihiga,Luanda,Black Quarter,25
Taita Taveta,Wundanyi,Abortion,1
Taita Taveta,Mwatate,East Coast Fever(ECF),118
Elgeyo/Marakwet,Marakwet West,0,14
Vihiga,Vihiga,Foot and Mouth Disease (FMD),7
Taita Taveta,Mwatate,Retained Afterbirth,0
Marsabit,Laisamis,Contagious Bovine Pleuropneumonia (CBPP),150
Baringo,Baringo North,Goat Pox,3646
Kakamega,Lugari,Mange,2
Vihiga,Hamisi,Lumpy Skin Disease (LSD),15
Kisumu,Seme,Nsd,2
Kwale,Kinango,Trypanosomiasis,291
Taita Taveta,Voi,Mastitis,27
Busia,Matayos,Black Quarter,9
Busia,Matayos,Traumatic Injury,1
Busia,Bunyala,Pneumonia,6
Vihiga,Hamisi,Helminthiasis,88
Vihiga,Sabatia,Pneumonia,79
Busia,Teso South,Anaestrus,1
Nairobi,Kasarani,Rabies,15
Marsabit,Saku,Organophosphate,0
Siaya,Alego Usonga,Parvovirus,2
Marsabit,Saku,Blue Tongue,2
Vihiga,Vihiga,Retained Placenta,0
Makueni,Kilome,Newcastle Disease (NCD),2252
Makueni,Kilome,Pneumonia,131
Makueni,Kilome,East Coast Fever(ECF),132
Makueni,Kilome,Trypanosomiasis,16
Makueni,Kilome,Anaplasmosis,175
Busia,Teso North,Lumpy Skin Disease (LSD),86
Vihiga,Hamisi,Wart Infection,2
Marsabit,Moyale,Caprine arthritis,6
Marsabit,Moyale,Babeosis,101
Busia,Teso South,Abdominal Hernia,12
Kitui,Kitui South,Heart Water,36
Elgeyo/Marakwet,Marakwet East,No,8
Busia,Matayos,Pink Eye,10
Marsabit,Laisamis,Kerato Conjuctivities,1
Taita Taveta,Voi,Leg Fracture,3
Marsabit,Laisamis,Predation by Hynes,5
Tharaka-Nithi,Chuka/Igambang'Ombe,Pneumonia,65
Vihiga,Emuhaya,Locia,1
Makueni,Kilome,Heart Water,82
Nyandarua,Ol Jorok,Foot and Mouth Disease (FMD),6
Siaya,Alego Usonga,Tryps,6
Siaya,Alego Usonga,Helminthes,6
Nyeri,Kieni,Foot and Mouth Disease (FMD),112
Marsabit,Moyale,Torticolis,85
Trans Nzoia,Cherangany,Pneumonia,205
Turkana,Turkana East,Pneumonia,389
Turkana,Turkana East,Contagious Caprine Pleuropneumonia (CCPP),895
Uasin Gishu,Soy,Pneumonia,266
Uasin Gishu,Soy,Contagious Caprine Pleuropneumonia (CCPP),286
Uasin Gishu,Kesses,Contagious Caprine Pleuropneumonia (CCPP),136
Vihiga,Sabatia,Contagious Caprine Pleuropneumonia (CCPP),630
Vihiga,Vihiga,Contagious Caprine Pleuropneumonia (CCPP),344
Vihiga,Luanda,Pneumonia,274
Vihiga,Hamisi,Contagious Caprine Pleuropneumonia (CCPP),383
Vihiga,Emuhaya,Contagious Caprine Pleuropneumonia (CCPP),1082
Taita Taveta,Voi,Limping,0
Taita Taveta,Voi,Poor Body Condition,0
Marsabit,Moyale,Fowl paralysis,45
Taita Taveta,Wundanyi,Trypanosomiasis,59
Marsabit,Moyale,Laryngotracheitis,26
Marsabit,Saku,Dystocia,0
Siaya,Alego Usonga,Trauma,18
Siaya,Gem,Bovine Papillomatosis,20
Busia,Matayos,Helminthiasis,33
Siaya,Ugunja,Lumpy Skin Disease (LSD),11
Busia,Matayos,0,1
Nandi,Aldai,Anaplasmosis,3
Kwale,Kinango,Coccidosis,932
Kwale,Kinango,Newcastle Disease (NCD),1687
Kwale,Kinango,Enterotoxaemia,16
Kwale,Kinango,Orf,24
Siaya,Ugenya,Streptothricosis,5
Taita Taveta,Voi,Coccidosis,198
Vihiga,Vihiga,Anaplasmosis,15
Baringo,Baringo South,Foot and Mouth Disease (FMD),35
Vihiga,Vihiga,Coccidosis,50
Siaya,Alego Usonga,Mastitis,0
Uasin Gishu,Turbo,Anthrax,7
Nairobi,Kasarani,Aggressiveness due to loneliness,2
Siaya,Alego Usonga,Pneumonia,23
Nyeri,Tetu,Lumpy Skin Disease (LSD),1
Siaya,Alego Usonga,Brucellosis,1
Makueni,Kibwezi West,Lumpy Skin Disease (LSD),1195
Garissa,Garissa Township,Contagious Caprine Pleuropneumonia (CCPP),386
Vihiga,Vihiga,Trypanosomiasis,13
Taita Taveta,Mwatate,Anaplasmosis,521
Taita Taveta,Voi,Demedicosis,37
Taita Taveta,Mwatate,Myiasis,21
Makueni,Kilome,Rabies,308
Makueni,Makueni,Rabies,110
Taita Taveta,Voi,Myiasis,1
Siaya,Alego Usonga,Oestrus ovina,0
Siaya,Alego Usonga,Newcastle Disease (NCD),74
Taita Taveta,Mwatate,Wound,9
Taita Taveta,Mwatate,Diarrhoea,92
Taita Taveta,Mwatate,Pink Eye Infection,69
Nakuru,Rongai,Sweating Sickness,0
Taita Taveta,Mwatate,GIT Infection,41
Vihiga,Emuhaya,Helminthiasis,263
Marsabit,Moyale,Vitamin D deficiency,12
Taita Taveta,Mwatate,Fowl Pox,30
Samburu,Samburu West,Animal bites,186
Taita Taveta,Mwatate,Physical Trauma,2
Siaya,Gem,East Coast Fever(ECF),3
Elgeyo/Marakwet,Marakwet East,Rabies,31
Kajiado,Kajiado Central,Foot and Mouth Disease (FMD),1132
Makueni,Kibwezi East,Poisoning,5
Elgeyo/Marakwet,Marakwet West,Ephemeral Fever,3
Mombasa,Nyali,Ear Canker,21
Uasin Gishu,Turbo,East Coast Fever(ECF),12
Makueni,Kaiti,Liver Abscess,1
Samburu,Samburu West,Water Intoxication,30
Samburu,Samburu West,Aflatoxin,12
Makueni,Kaiti,Hide Limb Fracture,0
Marsabit,Moyale,Caseous Lymphanitis,35
Nakuru,Gilgil,Sheep Pox,163
Siaya,Alego Usonga,Fowl Pox,12
Siaya,Alego Usonga,Goat Pox,2
Marsabit,Moyale,Circling,13
Kisumu,Kisumu East,East Coast Fever(ECF),8
Vihiga,Emuhaya,Abscess,1
Makueni,Kibwezi West,Retained Placenta,3
Kisumu,Kisumu Central,0,2
Elgeyo/Marakwet,Marakwet West,Rabies,2
Siaya,Alego Usonga,Anaphylaxis,3
Taita Taveta,Mwatate,Coccidosis,509
Marsabit,North Horr,Footrot,5
Marsabit,Saku,Brucellosis,95
Vihiga,Sabatia,Peste des Petit Ruminants (PPR),113
Busia,Butula,Enterotoxaemia,8
Marsabit,Laisamis,Hyenas,1
Vihiga,Hamisi,Foot and Mouth Disease (FMD),2
Vihiga,Hamisi,Compound Fructure,3
Makueni,Kaiti,Retained Placenta,1
Busia,Samia,Suspected Snake Bite,5
Taita Taveta,Voi,Canine Distemper,0
Elgeyo/Marakwet,Marakwet East,Helminthiasis,187
Busia,Matayos,Cervical Prolapse In An Incalf Cow,1
Nyandarua,Kinangop,Rabies,4
Mombasa,Nyali,Mange,1
Samburu,Samburu West,Septicemia,2
Busia,Matayos,Fowl Pox,521
Samburu,Samburu West,Mastitis,47
Taita Taveta,Taveta,Newcastle Disease (NCD),1300
Samburu,Samburu West,Suspected TRP,1
Kwale,Matuga,Wound,6
Laikipia,Laikipia West,Rabies,2
Vihiga,Emuhaya,Anthrax,11
Vihiga,Emuhaya,Heart Water,127
Nakuru,Subukia,Anaplasmosis,5
Vihiga,Vihiga,Heart Water,300
Nakuru,Subukia,East Coast Fever(ECF),33
Vihiga,Vihiga,Enterotoxaemia,1
Marsabit,Laisamis,Poisoning,120
Taita Taveta,Voi,Eye Infection,3
Wajir,Wajir East,Contagious Caprine Pleuropneumonia (CCPP),407
Vihiga,Luanda,0,22
Elgeyo/Marakwet,Marakwet East,Footrot,151
Kakamega,Matungu,East Coast Fever(ECF),6
Nyandarua,Ol Kalou,Anaplasmosis,10
Marsabit,Saku,Poisoning,36
Marsabit,Moyale,Caseous Lymphangitis,28
Taita Taveta,Mwatate,Mastitis,56
Vihiga,Emuhaya,Rabies,38
Trans Nzoia,Cherangany,Tetanus,12
Mombasa,Kisauni,Pneumonia,117
Bungoma,Mt. Elgon,Rabies,1
Taita Taveta,Voi,Bloat,3
Mombasa,Nyali,Inflammation of Abomesum,9
Nyeri,Tetu,African Swine Fever (ASF),6
Marsabit,North Horr,Abortions,50
Nakuru,Rongai,0,30
Marsabit,Moyale,Eternal Parasite Infestation,25
Kakamega,Lugari,East Coast Fever(ECF),40
Kisumu,Seme,Pneumonia,4
Kisumu,Seme,Metritis,6
Mombasa,Nyali,Anaplasmosis,7
Taita Taveta,Voi,0,205
Bungoma,Mt. Elgon,Coccidosis,55
Bungoma,Mt. Elgon,Anthrax,2
Taita Taveta,Taveta,0,0
Kakamega,Ikolomani,Anthrax,10
Uasin Gishu,Soy,Rabies,1
Narok,Transmara West,0,17
Makueni,Kibwezi West,Myasis,0
Makueni,Kibwezi East,Newcastle Disease (NCD),20
Kwale,Matuga,Helminthiasis,82
Kitui,Kitui Rural,Tetanus,0
Siaya,Gem,Lumpy Skin Disease (LSD),0
Marsabit,Moyale,Foot rot,65
Marsabit,Saku,Canine Distemper (CD),0
Elgeyo/Marakwet,Marakwet East,0,1
Makueni,Makueni,Contagious Caprine Pleuropneumonia (CCPP),115
Marsabit,Saku,Babesiosis,55
Busia,Teso South,Heart Water,6
Marsabit,Saku,Eperythrozoon Bacteria,20
Makueni,Kibwezi East,Mange,8
Trans Nzoia,Kwanza,Foot and Mouth Disease (FMD),91
Makueni,Mbooni,Mange,30
Samburu,Samburu West,Umbilical Hernia,0
Samburu,Samburu West,Metritis,6
Bungoma,Mt. Elgon,Tetanus,1
Samburu,Samburu West,Fractured Carpals,0
Samburu,Samburu West,Uterine Prolapse,0
Samburu,Samburu West,Aflatoxicosis,5
Bungoma,Mt. Elgon,Enterotoxaemia,2
Vihiga,Emuhaya,Transmissible Venereal Tumour,3
Bomet,Sotik,Anthrax,85
Samburu,Samburu West,tumour,0
Kakamega,Lugari,Lumpy Skin Disease (LSD),1205
Nyeri,Kieni,Lumpy Skin Disease (LSD),95
Marsabit,North Horr,Contagious Caprine Pleuropneumonia (CCPP),108
Makueni,Kibwezi East,Infectious Bronchitis,75
Vihiga,Sabatia,Foot and Mouth Disease (FMD),11
Bungoma,Mt. Elgon,Ehrlichiosis,3
Marsabit,Moyale,Conjunctivitis,21
Turkana,Turkana Central,Contagious Caprine Pleuropneumonia (CCPP),512
Samburu,Samburu West,Bacterial Mastitis,0
Marsabit,North Horr,Foot and Mouth Disease (FMD),93
Samburu,Samburu West,Pink Eye,9
Samburu,Samburu West,Mycosis,13
Samburu,Samburu West,Contagious Ecthyma,3
Kwale,Kinango,0,20
Samburu,Samburu West,Decubitus Ulcer,0
Samburu,Samburu West,Bacterial Enteritis,0
Busia,Butula,Anaplasmosis,11
Kakamega,Khwisero,Anthrax,2
Makueni,Kaiti,Anaplasmosis,2
Samburu,Samburu West,Gape Worm Infestation,33
Vihiga,Luanda,Brucellosis,203
Bomet,Bomet East,Foot and Mouth Disease (FMD),39
Makueni,Makueni,Lumpy Skin Disease (LSD),160
Busia,Bunyala,Trypanosomiasis,0
Kajiado,Kajiado South,Black Quarter,126
Kakamega,Mumias East,Mange,2
Busia,Teso North,Fowl Pox,56
Marsabit,North Horr,Goat Pox,170
Marsabit,North Horr,Lack Of Minerals,3
Samburu,Samburu West,Abscess,99
Makueni,Mbooni,Newcastle Disease (NCD),1090
Bungoma,Mt. Elgon,Myasis,3
Makueni,Kilome,Tick Paralysis,3
Marsabit,North Horr,Poisoning,73
Marsabit,Moyale,Atresia Ani,8
Makueni,Kibwezi West,Bloat,0
Makueni,Mbooni,Heart Water,30
Makueni,Kilome,None,9
Nakuru,Bahati,Anaplasmosis,7
Makueni,Kilome,Mange,17
Kitui,Kitui East,Enterotoxaemia,63
Kitui,Kitui Rural,Contagious Caprine Pleuropneumonia (CCPP),36
Samburu,Samburu West,Heart Water,28
Kilifi,Magarini,Helminthiasis,0
Samburu,Samburu West,Torsion,0
Kilifi,Malindi,East Coast Fever(ECF),16
Samburu,Samburu North,Carpal Flexion Dystocia,0
Elgeyo/Marakwet,Marakwet East,Mastitis,1
Samburu,Samburu West,Shipping Fever,0
Samburu,Samburu West,Fascioliasis,130
Samburu,Samburu West,Carpus Sprain,0
Samburu,Samburu West,Orf,75
Marsabit,Saku,Eperythrozoon Bactreria,30
Samburu,Samburu West,Streptothricosis,7
Bungoma,Mt. Elgon,Dystocia,1
Tana River,Bura,Equine trypanosomiasis,3
Kericho,Sigowet/Soin,Rabies,3
Vihiga,Emuhaya,Iron Deficiency,11
Garissa,Fafi,Anaplasmosis,456
Vihiga,Luanda,Horn Buds,1
Vihiga,Luanda,Locked Jaw/ Tetanus,5
Kisumu,Seme,Black Quarter,16
Garissa,Fafi,Anthrax,255
Kisumu,Seme,Ehrlichiosis,4
Vihiga,Luanda,Iron Deficiency,20
Garissa,Fafi,Peste des Petit Ruminants (PPR),1209
Makueni,Kibwezi West,Fracture,2
Bomet,Bomet East,Abscesses,0
Makueni,Mbooni,Enterotoxaemia,5
Garissa,Fafi,Mange,28
Garissa,Fafi,Trypanosomiasis,353
Makueni,Makueni,Parvovirus,8
Kajiado,Kajiado East,Newcastle Disease (NCD),12
Narok,Narok North,Enterotoxaemia,238
Narok,Narok North,Contagious Caprine Pleuropneumonia (CCPP),250
Vihiga,Vihiga,Streptococcis,900
Vihiga,Emuhaya,Camel Pox,6
Kisumu,Seme,Trypanosomiasis,19
Makueni,Kibwezi East,Heart Water,4
Kwale,Matuga,East Coast Fever(ECF),52
Tana River,Garsen,0,300
Narok,Narok West,East Coast Fever(ECF),217
Vihiga,Luanda,Peste des Petit Ruminants (PPR),358
Taita Taveta,Voi,Tick Bite Fever,3
Nandi,Nandi Hills,Anthrax,30
Marsabit,Saku,Peste des Petit Ruminants (PPR),300
Taita Taveta,Mwatate,Enteritis,9
Taita Taveta,Mwatate,Orf disease,1
Elgeyo/Marakwet,Marakwet East,Poisoning,5
Kwale,Kinango,Rabies,2
Marsabit,Moyale,Keratoconjunctivities,47
Elgeyo/Marakwet,Marakwet West,Oestrus Ovis,19
Kisumu,Seme,Anaplasmosis,20
Marsabit,Moyale,Worms,9
Elgeyo/Marakwet,Keiyo North,Helminthiasis,8
Busia,Nambale,Lumpy Skin Disease (LSD),413
Taita Taveta,Voi,R.A.B,0
Narok,Narok West,Foot and Mouth Disease (FMD),600
Makueni,Mbooni,Skin Infection,3
Taita Taveta,Mwatate,Bloat,7
Taita Taveta,Mwatate,Abscess,20
Taita Taveta,Mwatate,"Respiratory Infection, Helminthiasis",3
Bungoma,Mt. Elgon,0,3
Taita Taveta,Mwatate,Dystocia,9
Marsabit,Moyale,Helminthias,27
Makueni,Kibwezi East,Animal bites,20
Taita Taveta,Voi,Arthritis,3
Kitui,Kitui Rural,Pneumonia,4
Busia,Teso South,Dermatophilosis,1
Makueni,Kibwezi West,ephemeral fever,4
Makueni,Kibwezi East,Rabies,5
Vihiga,Emuhaya,Parvovirus,1
Vihiga,Emuhaya,Foot and Mouth Disease (FMD),25
Bungoma,Mt. Elgon,Newcastle Disease (NCD),5
Kakamega,Ikolomani,Helminthiasis,5
Busia,Butula,Lumpy Skin Disease (LSD),19
Kakamega,Shinyalu,Rabies,3
Mombasa,Kisauni,Parvovirus,1
Nyeri,Nyeri Town,Foot and Mouth Disease (FMD),7
Marsabit,Saku,Theileriosis,52
Samburu,Samburu West,Ruminal Acidosis,12
Narok,Narok South,Blue Tongue,345
Kajiado,Kajiado Central,Black Quarter,1
Kitui,Kitui South,Trypanosomiasis,5
Siaya,Gem,Coenurosis,1
Marsabit,Moyale,Sheep scab,89
Siaya,Gem,Poisoning,5
Marsabit,Moyale,hemorrhagic septicemia,15
Taita Taveta,Voi,Abscess,26
Mombasa,Kisauni,0,90
Taita Taveta,Wundanyi,Clinical Mastitis,2
Marsabit,North Horr,Orf,23
Nakuru,Gilgil,African Swine Fever (ASF),70
Taita Taveta,Taveta,Keratoconjunctivitis,50
Vihiga,Sabatia,Anaplasmosis,10
Narok,Narok South,Rabies,100
Samburu,Samburu East,Abscess,74
Samburu,Samburu East,N/A,370
Busia,Teso South,Swine Erysipelas,2
Samburu,Samburu West,Nutritional Diarrhea,25
Busia,Teso South,Shipping Fever,10
Vihiga,Hamisi,Pneumonia,420
Busia,Teso South,Bovine Filariasis,3
Marsabit,Moyale,Helmenthiasis,15
Kwale,Kinango,Bacterial Infection,18
